,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Clade
Pappochelys_rosinae,0,1,0,0,0,-,-,0,-,-,0,?,0,0,1,non_shelled
Eorhynchochelys_sinensis,0,1,0,0,0,-,-,0,-,-,0,?,1,?,0,non_shelled
Odontochelys_semitestacea,0,1,0,0,0,-,-,0,-,-,0,1,2,0,0,non_shelled
Proterochersis_porebensis,0,2,1,1,0,0,0,0,0,0,0,1,2,0,0,Triassic_stem
Proganochelys_quenstedtii,0,2,1,1,0,0,0,0,0,0,0,1,2,0,0,Triassic_stem
Palaeochersis_talampayensis,1,2,1,1,0,?,0,0,0,0,0,1,2,0,0,Triassic_stem
Elseya_dentata,1,2,1,1,1,1,0,0,0,0,0,1,1,0,1,Chelidae
Chelodina_novaeguineae,1,2,1,1,1,1,0,0,1,0,0,0,1,1,1,Chelidae
Mesoclemmys_zuliae,1,2,1,1,1,1,0,0,1,0,0,0,1,1,1,Chelidae
Hydromedusa_maximiliani,1,2,1,1,1,1,0,0,1,0,0,0,2,1,1,Chelidae
Pelomedusa_subrufa,1,2,1,1,1,1,0,0,0,0,0,0,2,0,1,Pelomedusoides
Pelusios_subniger,1,2,1,1,1,1,0,0,0,0,0,0,1,0,1,Pelomedusoides
Erymnochelys_madagascariensis,1,2,1,1,1,1,0,0,0,0,0,0,1,1,1,Pelomedusoides
Podocnemis_expansa,1,2,1,1,1,1,0,0,0,0,0,1,2,0,1,Pelomedusoides
Podcnemis_unifilis,1,2,1,1,1,1,0,0,0,0,0,1,2,0,1,Pelomedusoides
Carettochelys_insculpta,1,1,1,1,1,0,1,0,1,0,0,1,2,0,1,Trionychia
Pelodiscus_sinensis,1,2,1,1,1,1,0,0,0,1,0,0,1,1,1,Trionychia
Cycloderma_aubryi,1,2,1,1,1,1,0,0,0,1,0,0,1,0,1,Trionychia
Chelydra_serpentina,0,2,1,1,1,0,0,0,0,0,0,0,2,0,1,Chelydroidea
Macrochelys_temminckii,0,2,1,1,1,0,0,0,0,0,0,0,2,0,1,Chelydroidea
Dermatemys_mawii,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Chelydroidea
Kinosternon_acutum,1,2,1,1,1,0,0,0,1,0,0,1,2,0,1,Chelydroidea
Staurotypus_salvinii,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Chelydroidea
Eretmochelys_imbricata,0,2,1,1,1,1,2,0,0,0,1,0,2,0,1,Chelonioidea
Dermochelys_coriacea,0,2,1,1,1,1,3,1,0,0,1,1,2,0,1,Chelonioidea
Platysternon_megacephalum,1,2,1,1,1,0,0,0,1,0,0,1,2,0,1,Emysternia
Clemmys_guttata,1,2,1,1,1,0,0,0,0,0,0,1,1,1,1,Emysternia
Terrapene_carolina,1,2,1,1,1,0,0,0,1,0,0,1,2,0,1,Emysternia
Deirochelys_reticularia,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Emysternia
Graptemys_pseudogeographica,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Emysternia
Manouria_emys,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Testudinidae
Gopherus_berlandieri,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Testudinidae
Homopus_areolatus,1,2,1,1,1,0,0,0,0,0,0,1,0,0,1,Testudinidae
Aldabrachelys_gigantea,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Testudinidae
Testudo_horsfieldii,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Testudinidae
Malacochersus_tornieri,1,2,1,1,1,0,0,0,0,0,0,1,0,1,1,Testudinidae
Rhinoclemmys_rubida,1,2,1,1,1,0,0,0,0,0,0,0,1,1,1,Geoemydidae
Rhinoclemmys_pulcherrima,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Geoemydidae
Cuora_trifasciata,1,2,1,1,1,0,0,0,0,0,0,0,2,0,1,Geoemydidae
Mauremys_leprosa,1,2,1,1,1,0,0,0,1,0,0,0,1,1,1,Geoemydidae
Orlitia_borneensis,1,2,1,1,1,0,0,0,1,0,0,1,2,0,1,Geoemydidae
Pangshura_smithii,1,2,1,1,1,0,0,0,0,0,0,1,2,0,1,Geoemydidae
Geoemyda_spengleri,1,2,1,1,1,0,0,0,0,0,0,0,2,0,1,Geoemydidae
Cyclemys_dentata,1,2,1,1,1,0,0,0,0,0,0,0,1,1,1,Geoemydidae
